collectioncode,year,site,Julian date,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2022RitterAugust25,2022,Ritter,237,vagans,16,female,Impatiens,capensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,vagans,1,male,Solidago,canadensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,vagans,3,male,Impatiens,capensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,vagans,1,female,Agastache,sp.,,,,,,,,,
2022SpringLakeAugust25,2022,Spring,237,vagans,3,female,Physotegia,virginiana,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,vagans,3,female,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,vagans,1,female,Physotegia,virginiana,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,vagans,1,female,Solidago,canadensis,,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,affinis,3,male,Solidago,speciosa,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,citrinus,2,male,Solidago,speciosa,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,griseocollis,3,male,Solidago,speciosa,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,1,female,Solidago,canadensis,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,3,male,Solidago,canadensis,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,9,female,Solidago,speciosa,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,57,male,Solidago,speciosa,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,1,female,Solidago,rigida,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,impatiens,2,male,Solidago,rigida,Asteraceae,,,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,rufocinctus,1,female,Solidago,speciosa,Asteraceae,,1,,,,x,,
2022SpringLakeSeptember12,2022,Spring,255,vagans,2,male,Solidago,speciosa,Asteraceae,,,,,,x,,
